indice_tiempo;nivel_general;alimentos_bebidas_no_alcoholicas;bebidas_alcoholicas_tabaco;prendas_vestir_calzado;vivienda_agua_electricidad_otros_combustibles;equipamiento_mantenimiento_hogar;salud;transporte;comunicaciones;recreacion_cultura;educacion;restaurantes_hoteles;bienes_servicios_varios;estacionales;regulados;resto
1/7/2012;111.67;115.43;109.49;110.06;113.07;110.19;107.81;109.62;103.75;113.14;116.73;113.21;110.1;114.22;109.34;111.77
1/8/2012;114.25;117.82;111.67;109.22;119.36;111.06;109.15;112.49;106.36;115.16;118.05;117.33;112.01;116.6;111.67;114.41
1/9/2012;115.96;119.75;113.15;111.35;119.79;113.38;112.52;114.23;106.5;116.25;118.83;118.74;115.0;118.37;112.06;116.33
1/10/2012;117.67;122.11;116.52;115.1;120.47;114.31;113.17;114.94;109.62;119.01;119.13;120.67;116.6;122.0;113.68;117.83
1/11/2012;120.11;125.93;117.89;119.04;124.48;121.59;113.69;117.93;109.38;119.54;118.94;120.14;117.5;128.45;118.2;119.48
1/12/2012;122.48;126.95;119.39;121.03;124.92;126.75;117.97;121.73;109.46;123.45;119.11;122.55;118.98;130.47;121.03;121.81
1/1/2013;125.29;129.24;122.76;119.24;127.92;127.97;118.91;130.81;111.68;126.27;120.18;125.59;121.52;134.31;128.44;123.74
1/2/2013;126.66;130.61;124.66;116.71;129.34;128.6;121.86;132.01;112.62;128.72;123.57;127.14;122.95;130.71;129.74;125.68
1/3/2013;128.62;132.05;124.78;125.72;130.53;128.69;122.72;132.94;112.73;133.98;127.41;127.87;123.77;137.42;130.0;127.39
1/4/2013;131.2;133.01;125.42;130.3;131.46;136.1;124.08;137.32;112.72;137.46;133.3;129.32;125.11;140.41;132.35;129.96
1/5/2013;133.16;134.06;128.67;135.17;133.25;137.33;125.68;138.81;112.85;137.61;134.36;135.01;126.87;141.59;133.18;132.19
1/6/2013;135.67;137.7;129.53;138.47;134.57;137.62;130.01;139.95;113.69;140.54;136.47;138.69;129.57;143.5;134.06;135.04
